"Region of Incident","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Migration Route"
"Horn of Africa",2018,"Oct",2,NA,NA,NA,2,NA,"Shot or stabbed",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Mediterranean",2018,"Oct",1,NA,54,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2018,"Oct",1,NA,12,1,NA,NA,"Unknown","Eastern Mediterranean"
"Mediterranean",2018,"Oct",NA,54,NA,11,NA,3,"Presumed drowning","Western Mediterranean"
"Horn of Africa",2018,"Oct",2,NA,NA,NA,2,NA,"Shot or stabbed",""
"Horn of Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"North Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Mediterranean",2018,"Oct",1,13,2,NA,1,NA,"Presumed drowning","Western Mediterranean"
"North Africa",2018,"Oct",2,NA,NA,2,NA,NA,"Vehicle Accident, Excessive Physical Abuse",""
"Mediterranean",2018,"Oct",2,NA,NA,NA,2,NA,"Presumed drowning","Western Mediterranean"
"Middle East",2018,"Oct",6,NA,NA,NA,6,NA,"Drowning",""
"Europe",2018,"Oct",1,NA,NA,NA,1,NA,"Hit by train",""
"Europe",2018,"Oct",1,2,NA,1,NA,2,"Presumed drowning",""
"South America",2018,"Oct",1,NA,NA,1,NA,1,"Cardiac arrest",""
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2018,"Oct",1,NA,NA,1,NA,1,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,1,NA,1,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"North Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2018,"Oct",3,NA,31,1,NA,3,"Drowning","Eastern Mediterranean"
"Central America",2018,"Oct",1,NA,NA,NA,NA,NA,"Fall from vehicle",""
"Sub-Saharan Africa",2018,"Oct",7,NA,5,NA,NA,NA,"Drowning",""
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Horn of Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2018,"Oct",2,NA,NA,NA,2,NA,"Cardiac arrest","Western Mediterranean"
"Central America",2018,"Oct",6,NA,NA,1,5,3,"Vehicle Accident",""
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines, Starvation",""
"North Africa",2018,"Oct",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines, Dehydration, Harsh weather/lack of adequate shelter",""
"Central America",2018,"Oct",1,NA,NA,NA,NA,NA,"Fall from vehicle",""
"Mediterranean",2018,"Oct",1,NA,NA,1,NA,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Southeast Asia",2018,"Oct",1,NA,NA,NA,NA,NA,"Fall",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines",""
"Caribbean",2018,"Oct",2,NA,5,NA,2,NA,"Presumed drowning",""
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,1,NA,NA,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Unknown",""
"Sub-Saharan Africa",2018,"Oct",2,NA,NA,1,1,NA,"Sickness and lack of access to medicines, Starvation",""
"US-Mexico Border",2018,"Oct",1,NA,1,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2018,"Oct",1,NA,NA,1,NA,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2018,"Oct",1,NA,38,NA,1,NA,"Hypothermia","Western Mediterranean"
"Central America",2018,"Oct",2,NA,NA,NA,2,NA,"Fall from train",""
"North Africa",2018,"Oct",2,NA,NA,2,NA,NA,"Excessive Physical Abuse, Sexual abuse",""
"North Africa",2018,"Oct",2,NA,NA,1,1,2,"Sickness and lack of access to medicines, Vehicle Accident",""
"Sub-Saharan Africa",2018,"Oct",2,NA,NA,NA,2,2,"Sickness and lack of access to medicines, Starvation, Dehydration",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,1,"Unknown",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,1,"Vehicle Accident",""
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Middle East",2018,"Oct",22,NA,13,1,NA,4,"Vehicle Accident",""
"Mediterranean",2018,"Oct",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Shot or stabbed",""
"Sub-Saharan Africa",2018,"Oct",2,NA,NA,1,1,NA,"Sickness and lack of access to medicines, Starvation, Sexual abuse",""
"Sub-Saharan Africa",2018,"Oct",2,NA,NA,2,NA,NA,"Sickness and lack of access to medicines, Starvation, Sexual abuse",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Europe",2018,"Oct",11,NA,NA,NA,NA,NA,"Vehicle Accident","Western Balkans"
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2018,"Oct",3,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"Horn of Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Horn of Africa",2018,"Oct",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2018,"Oct",3,17,35,NA,NA,NA,"Drowning","Western Mediterranean"
"Mediterranean",2018,"Oct",2,NA,NA,1,NA,1,"Presumed drowning","Western Mediterranean"
"Mediterranean",2018,"Oct",2,2,13,NA,1,NA,"Presumed drowning","Western Mediterranean"
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2018,"Oct",NA,2,9,NA,NA,NA,"Drowning","Western Mediterranean"
"Mediterranean",2018,"Oct",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2018,"Oct",1,NA,NA,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,NA,NA,"Presumed drowning","Central America to US"
"South America",2018,"Oct",5,1,NA,1,1,NA,"Presumed drowning",""
"Southeast Asia",2018,"Oct",6,NA,NA,NA,6,NA,"Starvation, Dehydration",""
"Sub-Saharan Africa",2018,"Oct",6,NA,NA,2,1,1,"Vehicle Accident",""
"Europe",2018,"Oct",3,NA,NA,3,NA,1,"Murdered",""
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,NA,NA,"Presumed drowning","Central America to US"
"Mediterranean",2018,"Oct",2,NA,NA,NA,2,NA,"Presumed drowning","Western Mediterranean"
"Sub-Saharan Africa",2018,"Oct",2,NA,NA,2,NA,2,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,1,NA,NA,"Shot or stabbed",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,1,NA,1,"Sickness and lack of access to medicines",""
"US-Mexico Border",2018,"Oct",1,NA,NA,1,NA,NA,"Unknown",""
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,1,NA,"Presumed drowning","Central America to US"
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,1,NA,NA,"Suffocation",""
"Mediterranean",2018,"Oct",8,26,1,1,1,11,"Drowning","Eastern Mediterranean"
"North Africa",2018,"Oct",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines, Dehydration, Harsh weather/lack of adequate shelter",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Mediterranean",2018,"Oct",1,5,5,NA,1,NA,"Drowning","Central Mediterranean"
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Oct",3,NA,NA,3,NA,1,"Unknown",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Oct",2,NA,NA,NA,2,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Starvation, Dehydration",""
"Sub-Saharan Africa",2018,"Oct",2,NA,NA,NA,2,NA,"Sickness and lack of access to medicines, Starvation",""
"Sub-Saharan Africa",2018,"Oct",2,NA,NA,NA,2,NA,"Sickness and lack of access to medicines, Starvation",""
"Horn of Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"Central America",2018,"Oct",1,NA,NA,NA,1,NA,"Fall from train","Central America to US"
"Sub-Saharan Africa",2018,"Oct",2,NA,63,NA,NA,NA,"Presumed drowning",""
"Europe",2018,"Oct",1,NA,NA,NA,1,NA,"Exhaustion","Western Balkans"
"US-Mexico Border",2018,"Oct",1,NA,NA,1,NA,NA,"Probable hyperthermia","Central America to US"
"Southeast Asia",2018,"Oct",1,NA,NA,NA,1,NA,"Starvation, Dehydration, Excessive Physical Abuse",""
"Southeast Asia",2018,"Oct",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines, Starvation",""
"Horn of Africa",2018,"Oct",2,NA,NA,NA,2,NA,"Shot or stabbed",""
"North Africa",2018,"Oct",2,NA,NA,2,NA,NA,"Excessive Physical Abuse, Sexual abuse",""
"Sub-Saharan Africa",2018,"Oct",2,NA,NA,2,NA,2,"Vehicle Accident",""
"North Africa",2018,"Oct",1,NA,36,NA,1,NA,"Fall from steep slope",""
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Unknown",""
"Sub-Saharan Africa",2018,"Oct",2,NA,NA,NA,2,NA,"Unknown",""
"Sub-Saharan Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Shot or stabbed",""
"Mediterranean",2018,"Oct",15,19,26,NA,NA,2,"Drowning","Western Mediterranean"
"US-Mexico Border",2018,"Oct",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Mediterranean",2018,"Oct",NA,1,NA,NA,1,NA,"Presumed drowning","Central Mediterranean"
"Horn of Africa",2018,"Oct",2,NA,NA,NA,2,NA,"Shot or stabbed",""
"Horn of Africa",2018,"Oct",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"North Africa",2018,"Oct",1,NA,NA,NA,NA,NA,"Harsh weather/lack of adequate shelter",""
"Mediterranean",2018,"Sep",5,2,3,4,2,NA,"Drowning","Eastern Mediterranean"
"US-Mexico Border",2018,"Sep",1,NA,1,NA,1,NA,"Unknown","Central America to US"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,1,NA,NA,"Vehicle Accident",""
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Probable hyperthermia","Central America to US"
"North Africa",2018,"Sep",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2018,"Sep",1,NA,NA,1,NA,NA,"Presumed drowning","Western Mediterranean"
"North Africa",2018,"Sep",1,NA,NA,NA,1,NA,"Shot",""
"Middle East",2018,"Sep",1,NA,NA,NA,1,NA,"Shot",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"North Africa",2018,"Sep",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Horn of Africa",2018,"Sep",2,NA,NA,NA,2,NA,"Shot or stabbed",""
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Unknown",""
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Horn of Africa",2018,"Sep",3,NA,NA,3,NA,1,"Excessive Physical Abuse",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines, Dehydration, Malnutrition",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,1,NA,NA,"Starvation",""
"North Africa",2018,"Sep",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2018,"Sep",2,NA,NA,2,NA,1,"Sickness and lack of access to medicines, Excessive Physical Abuse, Sexual abuse",""
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Unknown",""
"Mediterranean",2018,"Sep",1,NA,24,1,NA,NA,"Shot","Western Mediterranean"
"Mediterranean",2018,"Sep",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Presumed drowning","Central America to US"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,1,NA,NA,"Starvation",""
"North Africa",2018,"Sep",2,NA,NA,1,1,2,"Sickness and lack of access to medicines",""
"Horn of Africa",2018,"Sep",1,NA,NA,NA,1,NA,"Starvation, Dehydration",""
"North Africa",2018,"Sep",2,NA,NA,1,1,NA,"Starvation, Excessive Physical Abuse",""
"Sub-Saharan Africa",2018,"Sep",3,NA,NA,1,2,1,"Vehicle Accident",""
"Mediterranean",2018,"Sep",1,NA,16,1,NA,NA,"Drowning","Eastern Mediterranean"
"Europe",2018,"Sep",1,NA,2,NA,1,NA,"Drowning",""
"Mediterranean",2018,"Sep",1,NA,NA,1,NA,NA,"Presumed drowning","Western Mediterranean"
"Southeast Asia",2018,"Sep",1,NA,NA,NA,1,NA,"Starvation, Dehydration",""
"Horn of Africa",2018,"Sep",1,NA,NA,1,NA,NA,"Starvation, Dehydration",""
"Sub-Saharan Africa",2018,"Sep",2,NA,NA,2,NA,NA,"Unknown",""
"North Africa",2018,"Sep",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines",""
"Mediterranean",2018,"Sep",1,NA,38,NA,1,1,"Drowning","Eastern Mediterranean"
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,NA,1,NA,"Unknown",""
"Central America",2018,"Sep",1,NA,NA,NA,1,NA,"Vehicle Accident, Hit by car","Central America to US"
"Mediterranean",2018,"Sep",1,NA,NA,1,NA,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Sep",1,NA,NA,1,NA,NA,"Unknown","Central America to US"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2018,"Sep",2,NA,NA,1,1,1,"Sickness and lack of access to medicines, Excessive Physical Abuse, Sexual abuse",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,NA,1,NA,"Killed by crocodile",""
"Sub-Saharan Africa",2018,"Sep",2,NA,NA,1,1,1,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,NA,1,NA,"Shot or stabbed",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines, Dehydration",""
"Mediterranean",2018,"Sep",1,NA,NA,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Probable hyperthermia","Central America to US"
"North Africa",2018,"Sep",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2018,"Sep",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,NA,1,NA,"Starvation, Dehydration",""
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Unknown",""
"Mediterranean",2018,"Sep",1,NA,56,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"Central America",2018,"Sep",1,NA,22,NA,1,NA,"Vehicle Accident",""
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Sep",4,NA,3,NA,NA,NA,"Vehicle Accident","Central America to US"
"US-Mexico Border",2018,"Sep",1,NA,2,NA,1,NA,"Unknown","Central America to US"
"North Africa",2018,"Sep",3,NA,NA,1,1,1,"Sickness and lack of access to medicines, Excessive Physical Abuse, Sexual abuse",""
"Sub-Saharan Africa",2018,"Sep",2,NA,NA,2,NA,1,"Unknown",""
"Sub-Saharan Africa",2018,"Sep",2,NA,NA,1,1,2,"Vehicle Accident",""
"Mediterranean",2018,"Sep",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,NA,NA,NA,"Shot or stabbed",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,1,NA,NA,"Unknown",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,NA,1,1,"Dehydration",""
"Mediterranean",2018,"Sep",2,1,16,3,NA,NA,"Presumed drowning","Eastern Mediterranean"
"North Africa",2018,"Sep",3,NA,NA,NA,3,NA,"Unknown (decomposed remains)",""
"Mediterranean",2018,"Sep",1,NA,NA,1,NA,NA,"Presumed drowning","Western Mediterranean"
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Mediterranean",2018,"Sep",NA,1,54,1,NA,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,1,NA,1,"Presumed drowning",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,1,NA,NA,"Unknown",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Sep",2,NA,NA,2,NA,NA,"Sickness and lack of access to medicines, Sexual abuse",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines, Starvation, Dehydration",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Sep",2,NA,NA,2,NA,1,"Dehydration",""
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Mediterranean",2018,"Sep",1,NA,NA,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"Central America",2018,"Sep",1,NA,NA,NA,1,NA,"Fall from train","Central America to US"
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,1,NA,NA,"Unknown",""
"Sub-Saharan Africa",2018,"Sep",2,NA,NA,1,1,NA,"Vehicle Accident",""
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines, Starvation, Dehydration, Suffocation",""
"Sub-Saharan Africa",2018,"Sep",2,NA,NA,NA,2,1,"Sickness and lack of access to medicines, Dehydration, Shot or stabbed",""
"Mediterranean",2018,"Sep",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2018,"Sep",3,NA,NA,1,1,NA,"Presumed drowning","Western Mediterranean"
"Middle East",2018,"Sep",1,NA,21,NA,1,NA,"Vehicle Accident",""
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Middle East",2018,"Sep",2,NA,NA,NA,2,NA,"Shot",""
"Sub-Saharan Africa",2018,"Sep",3,NA,NA,NA,NA,NA,"Shot or stabbed",""
"Sub-Saharan Africa",2018,"Sep",4,NA,NA,1,1,NA,"Shot or stabbed",""
"US-Mexico Border",2018,"Sep",1,NA,1,NA,1,NA,"Exposure, Hyperthermia","Central America to US"
"Europe",2018,"Sep",1,NA,NA,NA,1,NA,"Stabbed",""
"Southeast Asia",2018,"Sep",1,NA,NA,1,NA,1,"Sickness and lack of access to medicines, Starvation, Dehydration",""
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2018,"Sep",1,NA,NA,1,NA,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Dehydration","Central America to US"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Probable hyperthermia","Central America to US"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Southeast Asia",2018,"Sep",1,NA,NA,NA,1,1,"Shot or stabbed",""
"North Africa",2018,"Sep",2,NA,NA,1,1,NA,"Excessive Physical Abuse, Sexual abuse",""
"Mediterranean",2018,"Sep",6,NA,NA,3,3,1,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Probable hyperthermia","Central America to US"
"Sub-Saharan Africa",2018,"Sep",1,NA,NA,1,NA,NA,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Sep",2,NA,NA,NA,2,NA,"Vehicle Accident",""
"Europe",2018,"Sep",1,NA,NA,NA,NA,NA,"Hit by vehicle",""
"Central America",2018,"Sep",2,NA,NA,NA,NA,NA,"Shot",""
"Central America",2018,"Sep",1,NA,NA,1,NA,NA,"Violence",""
"Southeast Asia",2018,"Sep",1,NA,NA,1,NA,1,"Harsh weather/lack of adequate shelter",""
"North Africa",2018,"Sep",2,NA,NA,2,NA,1,"Harsh weather/lack of adequate shelter, Excessive Physical Abuse, Sexual abuse",""
"North Africa",2018,"Sep",2,NA,NA,NA,2,NA,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Sep",6,NA,NA,1,1,NA,"Vehicle Accident",""
"Middle East",2018,"Sep",1,NA,NA,NA,1,NA,"Shot",""
"Central America",2018,"Sep",1,NA,300,NA,NA,NA,"Unknown (decomposed remains)",""
"Horn of Africa",2018,"Sep",15,NA,NA,NA,15,NA,"Starvation, Dehydration",""
"North Africa",2018,"Sep",1,NA,NA,NA,1,NA,"Excessive Physical Abuse, Sexual abuse",""
"Mediterranean",2018,"Sep",5,NA,53,1,4,NA,"Drowning","Western Mediterranean"
"Mediterranean",2018,"Sep",NA,6,52,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2018,"Sep",NA,5,30,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Dehydration","Central America to US"
"Mediterranean",2018,"Sep",NA,61,NA,1,1,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"Sub-Saharan Africa",2018,"Sep",3,NA,NA,1,1,NA,"Vehicle Accident",""
"Southeast Asia",2018,"Sep",1,NA,47,NA,1,NA,"Vehicle Accident",""
"Mediterranean",2018,"Sep",2,128,55,1,1,20,"Presumed drowning","Central Mediterranean"
"US-Mexico Border",2018,"Sep",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)",""
"US-Mexico Border",2018,"Aug",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2018,"Aug",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Horn of Africa",2018,"Aug",33,NA,326,11,22,NA,"Drowning","Horn Africa to Yemen"
"US-Mexico Border",2018,"Aug",1,NA,NA,NA,1,NA,"Dehydration","Central America to US"
"US-Mexico Border",2018,"Aug",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Mediterranean",2018,"Aug",13,39,NA,6,NA,NA,"Presumed drowning","Western Mediterranean"
"Horn of Africa",2018,"Aug",1,NA,NA,NA,1,NA,"Starvation, Dehydration",""
"North Africa",2018,"Aug",1,NA,NA,NA,1,NA,"Vehicle Accident",""
